[952] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[956] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[960] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[964] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[968] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[972] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[976] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[980] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[984] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[988] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[992] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[996] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1000] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1004] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1008] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1012] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1016] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1020] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1024] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1028] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1032] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1036] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1040] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1044] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1048] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1052] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1056] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1060] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1064] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1068] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1072] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1076] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1080] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1084] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1088] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1092] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1096] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1100] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1104] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1108] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1112] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1116] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1120] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1124] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1128] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1132] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1136] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1140] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1144] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1148] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1152] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1156] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1160] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1164] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1168] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1172] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1176] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1180] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1184] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1188] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1192] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1196] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1200] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1204] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1208] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1212] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1216] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1220] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1224] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1228] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1232] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1236] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1240] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1244] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1248] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1252] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1256] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1260] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1264] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1268] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1272] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1276] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1280] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1284] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1288] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1292] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1296] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1300] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1304] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1308] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1312] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1316] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1320] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1324] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1328] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1332] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1336] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1340] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1344] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1348] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1352] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1356] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1360] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1364] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1368] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1372] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1376] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1380] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1384] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1388] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1392] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1396] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1400] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1404] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1408] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1412] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1416] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1420] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1424] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1428] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1432] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1436] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1440] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1444] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1448] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1452] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1456] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1460] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1464] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
[1468] AI: received message from E1 : Hi guys, I'm bored with nothing to do, any good jokes?
